Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z,Datos_tmp_s,Datos_tmp_loc
26-10-2021 01:46:54,-0.17,0.1,-10.09,0,\N
26-10-2021 01:46:55,0.02,0.34,-10.64,0,\N
26-10-2021 01:46:56,0.28,0.02,-10.42,0,\N
26-10-2021 01:46:57,0.11,-0.16,-10.53,0,\N
26-10-2021 01:46:58,-0.22,0.06,-10.2,0,\N
26-10-2021 01:46:59,-0.36,-0.18,-10.49,0,\N
26-10-2021 01:47:00,0.03,0.14,-10.82,0,\N
26-10-2021 01:47:01,-0.09,0.01,-10.62,0,\N
26-10-2021 01:47:02,-0.16,-0.19,-9.97,0,\N
26-10-2021 01:47:03,0.03,-0.08,-10.6,0,\N
26-10-2021 01:47:04,0.03,-0.2,-10.56,0,\N
26-10-2021 01:47:05,0.19,-0.17,-10.72,0,\N
26-10-2021 01:47:06,0.03,0.14,-10.66,0,\N
26-10-2021 01:47:07,-0.26,-0.51,-10.12,0,\N
26-10-2021 01:47:08,-0.06,-0.33,-10.67,0,\N
26-10-2021 01:47:09,0.28,0.31,-10.14,0,\N
26-10-2021 01:47:10,-0.13,0.3,-10.08,0,\N
26-10-2021 01:47:11,-0.59,-0.1,-9.82,0,\N
26-10-2021 01:47:12,-0.14,-0.12,-10.5,0,\N
26-10-2021 01:47:13,-0.26,0.07,-10.24,0,\N
26-10-2021 01:47:14,0.23,-0.35,-10.33,0,\N
26-10-2021 01:47:15,0,0.33,-10.25,0,\N
26-10-2021 01:47:16,0.32,-0.12,-10.17,0,\N
26-10-2021 01:47:17,0.02,-0.29,-10.44,0,\N
26-10-2021 01:47:18,0.14,-0.06,-10.56,0,\N
26-10-2021 01:47:19,-0.2,0.01,-9.87,0,\N
26-10-2021 01:47:20,-0.27,0.15,-10.15,0,\N
26-10-2021 01:47:21,-0.18,0.42,-10.13,0,\N
26-10-2021 01:47:22,-0.44,0.11,-9.94,0,\N
26-10-2021 01:47:23,0.06,0.18,-10.59,0,\N
26-10-2021 01:47:24,-0.14,-0.18,-10.21,0,\N
26-10-2021 01:47:25,-0.12,0.45,-10.3,0,\N
26-10-2021 01:47:26,0.2,-0.34,-10.96,0,\N
26-10-2021 01:47:27,0.03,0.83,-8.39,0,\N
26-10-2021 01:47:28,-0.15,-0.32,-10.15,0,\N
26-10-2021 01:47:29,-0.44,-0.4,-9.98,0,\N
26-10-2021 01:47:30,0.07,0.11,-10.14,0,\N
26-10-2021 01:47:31,-0.06,0.49,-10.32,0,\N
26-10-2021 01:47:32,-0.38,-0.51,-10.1,0,\N
26-10-2021 01:47:33,-0.03,0.03,-10.41,0,\N
26-10-2021 01:47:34,0,0.33,-10.12,0,\N
26-10-2021 01:47:35,-0.25,0.09,-10.64,0,\N
26-10-2021 01:47:36,0.41,-0.1,-11.01,0,\N
26-10-2021 01:47:37,-0.09,-0.08,-10.37,0,\N
26-10-2021 01:47:38,-0.16,0.26,-10.77,0,\N
26-10-2021 01:47:39,-0.46,-0.05,-10.14,0,\N
26-10-2021 01:47:40,0.25,-0.46,-10.48,0,\N
26-10-2021 01:47:41,0.24,0.21,-10.36,0,\N
26-10-2021 01:47:42,-0.01,-0.18,-10.6,0,\N
26-10-2021 01:47:43,0.05,0.35,-10.35,0,\N
26-10-2021 01:47:44,-0.25,0.15,-10.21,0,\N
26-10-2021 01:47:45,-0.14,0.28,-10.3,0,\N
26-10-2021 01:47:46,-0.16,0.11,-10.43,0,\N
26-10-2021 01:47:47,0.41,0.1,-10.4,0,\N
26-10-2021 01:47:48,-0.56,0.24,-10.13,0,\N
26-10-2021 01:47:49,-0.21,-0.37,-10.1,0,\N
26-10-2021 01:47:50,-0.07,0.2,-10.23,0,\N
26-10-2021 01:47:51,0.25,0.18,-10.15,0,\N
26-10-2021 01:47:52,0,0.1,-10.22,0,\N
26-10-2021 01:47:53,-0.08,-0.33,-10.56,0,\N
26-10-2021 01:47:54,-0.06,0.01,-10.21,0,\N
26-10-2021 01:47:55,0.15,-0.09,-10.53,0,\N
26-10-2021 01:47:56,-0.09,0.02,-10.49,0,\N
26-10-2021 01:47:57,-0.31,-0.05,-10.32,0,\N
26-10-2021 01:47:58,-0.47,0.1,-10.27,0,\N
26-10-2021 01:47:59,0.07,0.14,-10.49,0,\N
26-10-2021 01:48:00,0.29,-0.18,-10.89,0,\N
26-10-2021 01:48:01,0.23,0.05,-10.28,0,\N
26-10-2021 01:48:02,-0.13,-0.3,-10.57,0,\N
26-10-2021 01:48:03,-0.34,-0.27,-10.13,0,\N
26-10-2021 01:48:04,0.27,0.46,-10.73,0,\N
26-10-2021 01:48:05,-0.22,0.27,-9.91,0,\N
26-10-2021 01:48:06,-0.33,0.18,-10.08,0,\N
26-10-2021 01:48:07,0.32,-0.17,-10.56,0,\N
26-10-2021 01:48:08,0.22,0.07,-10.58,0,\N
26-10-2021 01:48:09,-0.2,-0.16,-10.68,0,\N
26-10-2021 01:48:10,0.52,-0.1,-11.17,0,\N
26-10-2021 01:48:11,0.14,-0.18,-10.52,0,\N
26-10-2021 01:48:12,-0.25,0.42,-10.22,0,\N
26-10-2021 01:48:13,-0.01,0.22,-10.2,0,\N
26-10-2021 01:48:14,0.12,0.22,-10.02,0,\N
