,pronostico
373,0.28
374,0.27
375,-0.45
376,0.42
377,-0.15
378,-0.14
379,0.25
380,-0.28
381,-0.09000000000000001
382,0.11
383,0.17
384,0.54
385,-0.51
386,0.3
387,0.23
388,0.34
389,0.08
390,0.28
391,-1.28
392,0.019999999999999997
393,0.4799999999999999
394,-0.07
395,-0.74
396,0.18
397,0.49
398,0.010000000000000007
399,0.039999999999999994
400,-0.009999999999999992
401,-0.35
402,0.28
403,0.27
404,-0.45
405,0.42
406,-0.15
407,-0.14
408,0.25
409,-0.28
410,-0.09000000000000001
411,0.11
412,0.17
413,0.54
414,-0.51
415,0.3
416,0.23
417,0.34
418,0.08
419,-0.14
420,-1.28
421,0.019999999999999997
422,0.4799999999999999
423,-0.07
424,-0.74
425,0.18
426,0.49
427,0.010000000000000007
428,0.039999999999999994
429,-0.009999999999999992
430,-0.35
431,0.28
432,0.27
433,-0.45
434,0.42
435,-0.15
436,-0.14
437,0.25
438,-0.28
439,-0.09000000000000001
440,0.11
441,0.17
442,0.54
443,-0.51
444,0.3
445,0.23
446,0.34
447,0.08
448,-0.14
449,-0.4799999999999999
450,0.019999999999999997
451,0.4799999999999999
452,-0.07
453,-0.74
454,0.18
455,0.49
456,0.010000000000000007
457,0.039999999999999994
458,-0.009999999999999992
459,-0.35
460,0.28
461,0.27
462,-0.45
463,0.42
464,-0.15
465,-0.14
466,0.25
467,-0.28
468,-0.09000000000000001
469,0.11
470,0.17
471,0.54
472,-0.51
473,0.3
474,0.23
475,0.34
476,0.08
477,-0.14
478,-0.4799999999999999
479,0.16
480,0.4799999999999999
481,-0.07
482,-0.74
483,0.18
484,0.49
485,0.010000000000000007
486,0.039999999999999994
487,-0.009999999999999992
488,-0.35
489,0.28
490,0.27
491,-0.45
492,0.42
493,-0.15
494,-0.14
495,0.25
496,-0.28
497,-0.09000000000000001
498,0.11
499,0.17
500,0.54
501,-0.51
502,0.3
503,0.23
504,0.34
505,0.08
506,-0.14
507,-0.4799999999999999
508,0.16
509,-0.5399999999999999
510,-0.07
511,-0.74
512,0.18
513,0.49
514,0.010000000000000007
515,0.039999999999999994
516,-0.009999999999999992
517,-0.35
518,0.28
519,0.27
520,-0.45
521,0.42
522,-0.15
523,-0.14
524,0.25
525,-0.28
526,-0.09000000000000001
527,0.11
528,0.17
529,0.54
530,-0.51
531,0.3
532,0.23
533,0.34
534,0.08
535,-0.14
536,-0.4799999999999999
537,0.16
538,-0.5399999999999999
539,-0.07999999999999999
540,-0.74
541,0.18
542,0.49
543,0.010000000000000007
544,0.039999999999999994
545,-0.009999999999999992
546,-0.35
547,0.28
548,0.27
549,-0.45
550,0.42
551,-0.15
552,-0.14
553,0.25
554,-0.28
555,-0.09000000000000001
556,0.11
557,0.17
558,0.54
559,-0.51
560,0.3
561,0.23
562,0.34
563,0.08
564,-0.14
565,-0.4799999999999999
566,0.16
567,-0.5399999999999999
568,-0.07999999999999999
569,0.05
570,0.18
571,0.49
572,0.010000000000000007
573,0.039999999999999994
574,-0.009999999999999992
575,-0.35
576,0.28
577,0.27
578,-0.45
579,0.42
580,-0.15
581,-0.14
582,0.25
583,-0.28
584,-0.09000000000000001
585,0.11
586,0.17
587,0.54
588,-0.51
589,0.3
590,0.23
591,0.34
592,0.08
593,-0.14
594,-0.4799999999999999
595,0.16
596,-0.5399999999999999
597,-0.07999999999999999
598,0.05
599,-0.39
600,0.49
601,0.010000000000000007
602,0.039999999999999994
603,-0.009999999999999992
604,-0.35
605,0.28
606,0.27
607,-0.45
608,0.42
609,-0.15
610,-0.14
611,0.25
612,-0.28
613,-0.09000000000000001
614,0.11
615,0.17
616,0.54
617,-0.51
618,0.3
619,0.23
620,0.34
621,0.08
622,-0.14
623,-0.4799999999999999
624,0.16
625,-0.5399999999999999
626,-0.07999999999999999
627,0.05
628,-0.39
629,-0.26999999999999996
630,0.010000000000000007
631,0.039999999999999994
632,-0.009999999999999992
633,-0.35
634,0.28
635,0.27
636,-0.45
637,0.42
638,-0.15
639,-0.14
640,0.25
641,-0.28
642,-0.09000000000000001
643,0.11
644,0.17
645,0.54
646,-0.51
647,0.3
648,0.23
649,0.34
650,0.08
651,-0.14
652,-0.4799999999999999
653,0.16
654,-0.5399999999999999
655,-0.07999999999999999
656,0.05
657,-0.39
658,-0.26999999999999996
659,0.33
660,0.039999999999999994
661,-0.009999999999999992
662,-0.35
663,0.28
