Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z
2021-01-01 0:02:54,0.49,0.59,-5.18
2021-01-01 0:02:55,0.48,0.6,-5.14
2021-01-01 0:02:56,0.48,0.58,-5.15
2021-01-01 0:02:57,0.49,0.57,-5.2
2021-01-01 0:02:58,0.5,0.58,-5.19
2021-01-01 0:02:59,0.48,0.56,-5.16
2021-01-01 0:03:00,0.5,0.6,-5.14
2021-01-01 0:03:01,0.48,0.57,-5.12
2021-01-01 0:03:02,0.49,0.59,-5.17
2021-01-01 0:03:03,0.48,0.56,-5.17
2021-01-01 0:03:04,0.49,0.59,-5.18
2021-01-01 0:03:05,0.48,0.6,-5.2
2021-01-01 0:03:06,0.47,0.6,-5.14
2021-01-01 0:03:07,0.48,0.57,-5.13
2021-01-01 0:03:08,0.51,0.58,-5.19
2021-01-01 0:03:09,0.49,0.6,-5.13
2021-01-01 0:03:10,0.5,0.6,-5.19
2021-01-01 0:03:11,0.5,0.58,-5.19
2021-01-01 0:03:12,0.48,0.6,-5.19
2021-01-01 0:03:13,0.48,0.57,-5.14
2021-01-01 0:03:14,0.47,0.58,-5.15
2021-01-01 0:03:15,0.49,0.59,-5.18
2021-01-01 0:03:16,0.47,0.58,-5.21
2021-01-01 0:03:17,0.47,0.6,-5.14
2021-01-01 0:03:18,0.46,0.59,-5.14
2021-01-01 0:03:19,0.51,0.59,-5.18
2021-01-01 0:03:20,0.48,0.61,-5.18
2021-01-01 0:03:21,0.5,0.6,-5.18
2021-01-01 0:03:22,0.47,0.6,-5.15
2021-01-01 0:03:23,0.47,0.58,-5.15
2021-01-01 0:03:24,0.5,0.57,-5.2
2021-01-01 0:03:25,0.49,0.59,-5.17
2021-01-01 0:03:26,0.47,0.6,-5.17
2021-01-01 0:03:27,0.47,0.6,-5.17
2021-01-01 0:03:28,0.46,0.56,-5.17
2021-01-01 0:03:29,0.48,0.57,-5.2
2021-01-01 0:03:30,0.47,0.57,-5.19
2021-01-01 0:03:31,0.48,0.56,-5.2
2021-01-01 0:03:32,0.51,0.6,-5.15
2021-01-01 0:03:33,0.48,0.59,-5.2
2021-01-01 0:03:34,0.48,0.61,-5.14
2021-01-01 0:03:35,0.48,0.6,-5.16
2021-01-01 0:03:36,0.47,0.58,-5.18
2021-01-01 0:03:37,0.48,0.6,-5.17
2021-01-01 0:03:38,0.48,0.59,-5.16
2021-01-01 0:03:39,0.49,0.56,-5.16
2021-01-01 0:03:40,0.49,0.59,-5.17
2021-01-01 0:03:41,0.48,0.61,-5.2
2021-01-01 0:03:42,0.48,0.56,-5.17
2021-01-01 0:03:43,0.48,0.6,-5.17
2021-01-01 0:03:44,-0.05,1.59,-3.49
2021-01-01 0:03:45,0.2,0.34,-4.85
2021-01-01 0:03:46,1.13,0.25,-5.59
2021-01-01 0:03:47,0.44,1.22,-4.65
2021-01-01 0:03:48,-0.11,0.56,-5.51
2021-01-01 0:03:49,0.84,0.16,-4.77
2021-01-01 0:03:50,0.62,0.33,-4.93
2021-01-01 0:03:51,0.74,0.56,-4.88
2021-01-01 0:03:52,-0.29,1.17,-5.77
2021-01-01 0:03:53,0.53,0.38,-5.25
2021-01-01 0:03:54,-0.21,0.91,-6.21
2021-01-01 0:03:55,0.3,0.91,-5.06
2021-01-01 0:03:56,-0.08,0.38,-6
2021-01-01 0:03:57,0.77,0.7,-4.16
2021-01-01 0:03:58,0.9,0.28,-5.64
2021-01-01 0:03:59,0.38,0.99,-5.18
2021-01-01 0:04:00,0.12,0.63,-4.94
2021-01-01 0:04:01,0.46,0.04,-6.08
2021-01-01 0:04:02,0.09,0.79,-5.12
2021-01-01 0:04:03,0.12,0.89,-5.08
2021-01-01 0:04:04,-0.06,1.04,-5.22
2021-01-01 0:04:05,0.69,0.37,-5.42
2021-01-01 0:04:06,0.86,0.32,-5.13
2021-01-01 0:04:07,0.56,0.38,-5.24
2021-01-01 0:04:08,0.48,0.78,-4.37
2021-01-01 0:04:09,0.14,1.05,-5.57
2021-01-01 0:04:10,0.22,0.49,-5.31
2021-01-01 0:04:11,0.27,-0.06,-5.85
2021-01-01 0:04:12,0.09,0.55,-4.76
2021-01-01 0:04:13,0.28,0.58,-5.06
2021-01-01 0:04:14,0.49,0.77,-4.87
2021-01-01 0:04:15,1.19,0.59,-5.51
2021-01-01 0:04:16,0.28,0.6,-6.49
2021-01-01 0:04:17,-0.19,1.19,-6
2021-01-01 0:04:18,0.48,0.17,-5.19
2021-01-01 0:04:19,1.03,-0.02,-4.66
2021-01-01 0:04:20,0.13,1.01,-5.25
2021-01-01 0:04:21,0.93,0.5,-5
2021-01-01 0:04:22,0.45,0.68,-5.02
2021-01-01 0:04:23,0.4,0.65,-4.96
2021-01-01 0:04:24,-0.04,0.64,-6.18
2021-01-01 0:04:25,0.74,0.62,-4.37
2021-01-01 0:04:26,0.47,0.66,-5.04
2021-01-01 0:04:27,-0.13,1.1,-4.83
2021-01-01 0:04:28,0.19,0.71,-5.32
2021-01-01 0:04:29,0.23,0.78,-6.34
2021-01-01 0:04:30,0.6,0.35,-5.31
2021-01-01 0:04:31,0.6,0.2,-5.14
2021-01-01 0:04:32,0.48,0.36,-5.06
2021-01-01 0:04:33,0.48,0.19,-5.74
2021-01-01 0:04:34,0.24,0.97,-5.35
2021-01-01 0:04:35,0.38,1.1,-4.76
2021-01-01 0:04:36,0.84,0.39,-4.93
2021-01-01 0:04:37,0.72,1.01,-4.76
2021-01-01 0:04:38,0.66,0.62,-5.18
2021-01-01 0:04:39,0.46,1.16,-4.43
2021-01-01 0:04:40,0.83,0.19,-5.28
2021-01-01 0:04:41,0.23,0.69,-4.87
2021-01-01 0:04:42,0.1,0.16,-5.36
2021-01-01 0:04:43,0.69,0.63,-5.8
2021-01-01 0:04:44,0.51,0.19,-6.39
2021-01-01 0:04:45,0.69,0.64,-4.87
2021-01-01 0:04:46,0.6,0.19,-5.06
2021-01-01 0:04:47,0.86,0.62,-4.47
2021-01-01 0:04:48,0.4,0.81,-5.3
2021-01-01 0:04:49,1.05,0.32,-5.62
2021-01-01 0:04:50,0.8,1.09,-4.15
2021-01-01 0:04:51,0.54,0.52,-5.52
2021-01-01 0:04:52,0.09,0.35,-5.13
2021-01-01 0:04:53,0.4,0.72,-5.36
2021-01-01 0:04:54,0.52,1.29,-4.71
2021-01-01 0:04:55,0.51,0.37,-5.73
2021-01-01 0:04:56,-0.23,1.23,-5.25
2021-01-01 0:04:57,0.87,0.51,-5.54
2021-01-01 0:04:58,0.81,0.39,-4.75
2021-01-01 0:04:59,0.35,0.48,-4.89
2021-01-01 0:05:00,-0.08,1.26,-4.39
2021-01-01 0:05:01,0.76,0.44,-5.54
2021-01-01 0:05:02,0.53,1.02,-5.37
2021-01-01 0:05:03,0.23,0.65,-4.46
2021-01-01 0:05:04,0.63,0.46,-4.89
2021-01-01 0:05:05,0.39,0.17,-5.79
2021-01-01 0:05:06,0.48,0.58,-4.83
2021-01-01 0:05:07,0.52,0.28,-5.99
2021-01-01 0:05:08,0.32,0.65,-5.07
2021-01-01 0:05:09,0.09,0.86,-4.93
2021-01-01 0:05:10,0.79,0.49,-5.59
2021-01-01 0:05:11,0.65,1.09,-5.08
2021-01-01 0:05:12,0.49,0.35,-4.89
2021-01-01 0:05:13,0.1,0.26,-5.26
2021-01-01 0:05:14,1.08,0.4,-4.95
2021-01-01 0:05:15,0.4,0.27,-5.57
2021-01-01 0:05:16,0.79,0.63,-5.37
2021-01-01 0:05:17,0.72,0.02,-5.02
2021-01-01 0:05:18,0.68,0.67,-5.01
2021-01-01 0:05:19,1.15,0.45,-4.54
2021-01-01 0:05:20,0.48,0.96,-4.74
2021-01-01 0:05:21,0.63,0.31,-5.04
2021-01-01 0:05:22,0.82,0.28,-5.18
2021-01-01 0:05:23,0.53,0.29,-4.57
2021-01-01 0:05:24,0.78,0.84,-5.08
2021-01-01 0:05:25,1.27,0.03,-4.85
2021-01-01 0:05:26,0.24,0.74,-4.68
2021-01-01 0:05:27,0.27,0.32,-5.49
2021-01-01 0:05:28,0.27,0.49,-5.67
2021-01-01 0:05:29,0.45,0.73,-4.94
2021-01-01 0:05:30,0.03,0.86,-5.13
2021-01-01 0:05:31,-0.03,0.88,-5.2
2021-01-01 0:05:32,0.36,0.83,-4.41
2021-01-01 0:05:33,0.83,0.67,-5.52
2021-01-01 0:05:34,0.68,0.85,-4.75
2021-01-01 0:05:35,0.31,0.3,-4.81
2021-01-01 0:05:36,0.97,0.65,-5.39
2021-01-01 0:05:37,0.8,0.5,-4.74
2021-01-01 0:05:38,1.21,0.24,-5.5
2021-01-01 0:05:39,0.62,0.54,-4.89
2021-01-01 0:05:40,0.4,0.42,-5.06
2021-01-01 0:05:41,0.47,0.55,-4.82
2021-01-01 0:05:42,1.14,0.14,-5.33
2021-01-01 0:05:43,0.63,0.39,-5.72
2021-01-01 0:05:44,0.25,0.52,-5.64
2021-01-01 0:05:45,0.73,0.35,-5.03
2021-01-01 0:05:46,0.36,0.87,-4.92
2021-01-01 0:05:47,0.34,0.72,-5.8
2021-01-01 0:05:48,0.28,0.96,-4.98
2021-01-01 0:05:49,0.38,0.18,-5.47
2021-01-01 0:05:50,0.61,0.52,-5.29
2021-01-01 0:05:51,0.49,0.46,-5.22
2021-01-01 0:05:52,0.57,0.35,-5.41
2021-01-01 0:05:53,0.56,0.74,-4.83
2021-01-01 0:05:54,0.29,0.27,-5.24
2021-01-01 0:05:55,0.97,0.5,-4.09
2021-01-01 0:05:56,0.63,1.01,-4.82
2021-01-01 0:05:57,0.76,0.79,-5.25
2021-01-01 0:05:58,0.37,0.15,-5.13
2021-01-01 0:05:59,0.17,0.4,-6.08
2021-01-01 0:06:00,0.7,0.58,-5.43
2021-01-01 0:06:01,0.2,0.56,-5.56
2021-01-01 0:06:02,0.23,0.5,-5.48
2021-01-01 0:06:03,0.53,0.77,-4.84
2021-01-01 0:06:04,0.58,0.61,-5.25
2021-01-01 0:06:05,-0.35,0.69,-5.94
2021-01-01 0:06:06,0.36,0.68,-4.89
2021-01-01 0:06:07,0.15,1.14,-4.46
2021-01-01 0:06:08,-0.18,1.23,-5.44
2021-01-01 0:06:09,1.22,0.22,-4.75
2021-01-01 0:06:10,0.53,1.11,-4.89
2021-01-01 0:06:11,0.32,1.08,-4.98
2021-01-01 0:06:12,0.61,0.58,-4.05
2021-01-01 0:06:13,0.55,0.71,-4.97
2021-01-01 0:06:14,0.6,0.62,-5.77
2021-01-01 0:06:15,0.78,0.8,-5.16
2021-01-01 0:06:16,0.58,0.67,-4.95
2021-01-01 0:06:17,0.76,0.64,-5.19
2021-01-01 0:06:18,0.47,0.49,-5.37
2021-01-01 0:06:19,0.51,1.14,-5.24
2021-01-01 0:06:20,-0.39,1.3,-6.18
2021-01-01 0:06:21,0.37,0.68,-4.51
2021-01-01 0:06:22,0.3,1.24,-4.25
2021-01-01 0:06:23,0.31,0.45,-5.2
2021-01-01 0:06:24,0.56,0.45,-5.44
2021-01-01 0:06:25,0.27,0.49,-4.83
2021-01-01 0:06:26,0.23,0.95,-4.67
2021-01-01 0:06:27,0.44,0.5,-5
2021-01-01 0:06:28,0.72,0.69,-5.37
2021-01-01 0:06:29,0.8,0.86,-5.06
2021-01-01 0:06:30,0.14,0.62,-5.38
2021-01-01 0:06:31,0.38,0.91,-4.91
2021-01-01 0:06:32,0.85,1.12,-4.35
2021-01-01 0:06:33,0.5,1.18,-4.55
2021-01-01 0:06:34,0.42,0.35,-4.79
2021-01-01 0:06:35,0.41,0.32,-5.66
2021-01-01 0:06:36,0.26,0.29,-5.58
2021-01-01 0:06:37,0.69,0.29,-5.68
2021-01-01 0:06:38,0.6,0.71,-5.12
2021-01-01 0:06:39,0.35,0.38,-4.66
2021-01-01 0:06:40,0.35,0.04,-5.25
2021-01-01 0:06:41,0.54,0.63,-5.64
2021-01-01 0:06:42,0.44,0.48,-4.69
2021-01-01 0:06:43,0.03,0.49,-5.47
2021-01-01 0:06:44,0.39,0.94,-4.97
2021-01-01 0:06:45,0.95,0.65,-5.06
2021-01-01 0:06:46,0.93,0.53,-5.58
2021-01-01 0:06:47,0.43,0.12,-5.57
2021-01-01 0:06:48,0.48,0.54,-5.14
2021-01-01 0:06:49,0.22,0.82,-4.95
2021-01-01 0:06:50,0.37,1.05,-4.74
2021-01-01 0:06:51,0.12,0.87,-5.16
2021-01-01 0:06:52,0.33,0.37,-5.34
2021-01-01 0:06:53,0.46,0.38,-5.21
2021-01-01 0:06:54,0.28,0.89,-4.99
2021-01-01 0:06:55,0.29,0.66,-5.94
2021-01-01 0:06:56,0.47,0.81,-5.22
2021-01-01 0:06:57,0.66,0.68,-5.27
2021-01-01 0:06:58,0.49,0.6,-5.06
2021-01-01 0:06:59,0.35,0.83,-5.14
2021-01-01 0:07:00,0.17,0.67,-5.42
2021-01-01 0:07:01,0.49,0.95,-3.97
2021-01-01 0:07:02,0.11,0.94,-4.92
2021-01-01 0:07:03,-0.4,0.89,-6.55
2021-01-01 0:07:04,0.41,1.03,-4.95
2021-01-01 0:07:05,0.89,0.27,-5.38
2021-01-01 0:07:06,0.15,0.9,-5.19
2021-01-01 0:07:07,0.44,0.43,-5.3
2021-01-01 0:07:08,0.9,0.41,-5.86
2021-01-01 0:07:09,1.19,0.49,-4.87
2021-01-01 0:07:10,0.43,1.01,-4.75
2021-01-01 0:07:11,0.54,0.64,-4.54
2021-01-01 0:07:12,0.4,0.4,-5.25
2021-01-01 0:07:13,0.7,0.24,-5.57
2021-01-01 0:07:14,0.64,0.16,-5.9
2021-01-01 0:07:15,0.07,0.64,-5.83
2021-01-01 0:07:16,0.24,0.24,-5.32
2021-01-01 0:07:17,0.49,0.28,-5.38
2021-01-01 0:07:18,0.71,0.59,-5.48
2021-01-01 0:07:19,0.21,1.11,-5.87
2021-01-01 0:07:20,0.6,0.62,-5.36
2021-01-01 0:07:21,0.53,0.33,-4.9
2021-01-01 0:07:22,0.33,0.43,-5.52
2021-01-01 0:07:23,1.13,0.06,-4.85
2021-01-01 0:07:24,0.54,0.85,-5.05
2021-01-01 0:07:25,0.75,0.01,-5.05
2021-01-01 0:07:26,0.37,0.83,-4.34
2021-01-01 0:07:27,0.42,0.69,-5.65
2021-01-01 0:07:28,0.45,0.71,-5.17
2021-01-01 0:07:29,0.19,0.67,-5.74
2021-01-01 0:07:30,0.42,0.59,-4.9
2021-01-01 0:07:31,0.34,0.86,-4.61
2021-01-01 0:07:32,0.64,0.35,-4.1
2021-01-01 0:07:33,1.14,0.4,-4.97
2021-01-01 0:07:34,0.4,0.69,-5.09
2021-01-01 0:07:35,0.38,-0.02,-6.01
2021-01-01 0:07:36,0.79,0.61,-4.33
2021-01-01 0:07:37,0.48,1.29,-4.1
2021-01-01 0:07:38,0.45,0.49,-6.66
2021-01-01 0:07:39,0.15,1.18,-5.15
2021-01-01 0:07:40,0.29,0.31,-5.63
2021-01-01 0:07:41,0.68,0.48,-4.42
2021-01-01 0:07:42,0.32,0.35,-4.91
2021-01-01 0:07:43,0.91,0.03,-5.57
2021-01-01 0:07:44,0.79,0.6,-4.91
2021-01-01 0:07:45,0.4,0.63,-5.76
2021-01-01 0:07:46,0.61,0.71,-5.09
2021-01-01 0:07:47,0.68,0.73,-4.53
2021-01-01 0:07:48,0.12,0.72,-4.84
2021-01-01 0:07:49,1,0.45,-4.97
2021-01-01 0:07:50,0.45,0.36,-5.42
2021-01-01 0:07:51,0.34,0.43,-4.96
2021-01-01 0:07:52,0.59,0.35,-5.53
2021-01-01 0:07:53,0.21,0.46,-5.37
2021-01-01 0:07:54,0.04,1.47,-5.69
2021-01-01 0:07:55,0.68,0.41,-4.89
2021-01-01 0:07:56,0.98,0.19,-5.68
2021-01-01 0:07:57,0.16,0.63,-5.17
2021-01-01 0:07:58,0.2,0.04,-5.42
2021-01-01 0:07:59,0.21,0.86,-4.59
2021-01-01 0:08:00,0.49,0.62,-5.12
2021-01-01 0:08:01,1.37,0.26,-4.87
2021-01-01 0:08:02,0.24,0.48,-5.95
2021-01-01 0:08:03,0.47,0.6,-5.54
2021-01-01 0:08:04,0.34,0.33,-5.04
2021-01-01 0:08:05,0.77,0.93,-4.61
2021-01-01 0:08:06,0.34,0.84,-5.09
2021-01-01 0:08:07,0.12,1.02,-5.16
2021-01-01 0:08:08,0.57,0.53,-5.62
2021-01-01 0:08:09,0.02,0.89,-5.88
2021-01-01 0:08:10,0.39,0.92,-5.15
2021-01-01 0:08:11,0.54,0.34,-5.89
2021-01-01 0:08:12,0.5,0.11,-5.39
2021-01-01 0:08:13,0.49,0.17,-5.55
2021-01-01 0:08:14,0.17,0.52,-5.84
2021-01-01 0:08:15,0.76,0.45,-5.45
2021-01-01 0:08:16,0.36,0.49,-5.59
2021-01-01 0:08:17,0.59,0.71,-4.97
2021-01-01 0:08:18,0.6,0.65,-4.72
2021-01-01 0:08:19,1.14,0.58,-4.85
2021-01-01 0:08:20,0.88,0.3,-5.85
2021-01-01 0:08:21,0.35,0.82,-5.14
2021-01-01 0:08:22,0.36,0.43,-5.24
2021-01-01 0:08:23,0.4,0.99,-4.25
2021-01-01 0:08:24,0.66,0.61,-5.12
2021-01-01 0:08:25,0.16,0.24,-6.15
2021-01-01 0:08:26,0.92,0.43,-4.52
2021-01-01 0:08:27,-0.16,0.32,-5.39
2021-01-01 0:08:28,0.45,0.17,-5.16
2021-01-01 0:08:29,0.31,0.62,-5.1
2021-01-01 0:08:30,0.91,0.44,-4.82
2021-01-01 0:08:31,0.6,0.56,-5.24
2021-01-01 0:08:32,0.23,0.51,-5.8
2021-01-01 0:08:33,-0.11,0.86,-5.52
2021-01-01 0:08:34,0.54,0.31,-5.45
2021-01-01 0:08:35,0.42,0.59,-5.23
2021-01-01 0:08:36,0.54,0.38,-4.89
2021-01-01 0:08:37,0.44,0.42,-4.93
2021-01-01 0:08:38,0.49,0.6,-4.94
2021-01-01 0:08:39,0.65,0.78,-4.68
2021-01-01 0:08:40,0.07,0.26,-5.45
2021-01-01 0:08:41,0.21,0.29,-5.14
2021-01-01 0:08:42,0.47,0.6,-5.11
2021-01-01 0:08:43,0.41,0.83,-4.95
2021-01-01 0:08:44,1.54,-0.08,-4.87
2021-01-01 0:08:45,0.39,0.82,-5.71
2021-01-01 0:08:46,0.43,0.89,-4.81
2021-01-01 0:08:47,0.44,0.8,-4.76
2021-01-01 0:08:48,0.26,1.03,-4.87
2021-01-01 0:08:49,1.03,0.24,-5.31
2021-01-01 0:08:50,0.41,0.37,-4.9
2021-01-01 0:08:51,0.28,0.18,-5.64
2021-01-01 0:08:52,0.45,0.12,-5.65
