Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z
2021-10-26 0:02:49,0.66,-1.72,-9.02
2021-10-26 0:02:50,1.3,-1.54,-9.05
2021-10-26 0:02:51,0,3.38,-0.44
2021-10-26 0:02:52,0.21,2.96,-1.22
2021-10-26 0:02:53,0.47,-0.9,-8.12
2021-10-26 0:02:54,-0.04,3.37,-0.29
2021-10-26 0:02:55,-0.02,3.18,-0.73
2021-10-26 0:02:56,0.14,2.26,-3.06
2021-10-26 0:02:57,1.19,-1.5,-8.54
2021-10-26 0:02:58,0.11,3.08,-0.88
2021-10-26 0:02:59,0.09,2.36,-2.43
2021-10-26 0:03:00,0.26,-0.32,-7.65
2021-10-26 0:03:01,0.81,-1.42,-8.05
2021-10-26 0:03:02,0.75,-0.96,-8.11
2021-10-26 0:03:03,0.59,1.62,-5.51
2021-10-26 0:03:04,0.7,-0.05,-7.28
2021-10-26 0:03:05,0.47,2.84,-1.4
2021-10-26 0:03:06,0.46,0.73,-4.47
2021-10-26 0:03:07,0.03,2.41,-1.2
2021-10-26 0:03:08,0.71,-1.79,-9.11
2021-10-26 0:03:09,0.78,-1.49,-8.59
2021-10-26 0:03:10,0.02,2.58,-1.26
2021-10-26 0:03:11,0.16,1.72,-4.43
2021-10-26 0:03:12,0.5,-1.1,-8.29
2021-10-26 0:03:13,0.31,2.46,-1.29
2021-10-26 0:03:14,0.32,2.43,-1.28
2021-10-26 0:03:15,0.9,-1.42,-8.83
2021-10-26 0:03:16,0.5,0.24,-5.22
2021-10-26 0:03:17,-0.14,3.53,-0.05
2021-10-26 0:03:18,1.09,-1.12,-8.1
2021-10-26 0:03:19,-0.03,1.69,-2.03
2021-10-26 0:03:20,0.08,3.52,0.09
2021-10-26 0:03:21,-0.16,3.3,-0.49
2021-10-26 0:03:22,0.53,-0.11,-5.33
2021-10-26 0:03:23,0.78,-0.86,-8.07
2021-10-26 0:03:24,1.53,-1.44,-9.12
2021-10-26 0:03:25,1.35,-1.45,-8.72
2021-10-26 0:03:26,0.68,-0.95,-6.71
2021-10-26 0:03:27,0.72,-1.68,-8.51
2021-10-26 0:03:28,-0.44,2.7,-1.88
2021-10-26 0:03:29,0.28,2.85,-0.3
2021-10-26 0:03:30,0.14,2.7,-1.68
2021-10-26 0:03:31,0.42,1.57,-5.15
2021-10-26 0:03:32,0.43,-0.97,-8.24
2021-10-26 0:03:33,0.58,-1.2,-8.08
2021-10-26 0:03:34,-0.03,2.8,-1.26
2021-10-26 0:03:35,-0.21,2.85,-1.09
2021-10-26 0:03:36,0.15,1.6,-4.71
2021-10-26 0:03:37,0.77,0.28,-6.82
2021-10-26 0:03:38,0.08,2.03,-4.09
2021-10-26 0:03:39,0.68,0.33,-6.87
2021-10-26 0:03:40,0.49,-0.12,-5.63
2021-10-26 0:03:41,0.2,3.27,-0.79
2021-10-26 0:03:42,1.33,-1.28,-8.86
2021-10-26 0:03:43,0.21,2.35,-3.14
2021-10-26 0:03:44,0.56,-0.53,-7.63
2021-10-26 0:03:45,0.05,3.11,-0.49
2021-10-26 0:03:46,0.9,-0.76,-5.96
2021-10-26 0:03:47,-0.09,3.23,-0.73
2021-10-26 0:03:48,0.35,2.6,-2.15
2021-10-26 0:03:49,1.03,-1.48,-8.15
2021-10-26 0:03:50,0.73,-1.89,-8.98
2021-10-26 0:03:51,0.46,2.87,-1.22
2021-10-26 0:03:52,1.24,-1.25,-8.53
2021-10-26 0:03:53,0.11,3.45,-0.74
2021-10-26 0:03:54,0.63,0.35,-7.2
2021-10-26 0:03:55,1.01,-1.43,-8.65
2021-10-26 0:03:56,0.82,-1.51,-9.12
2021-10-26 0:03:57,0.39,2.26,-1.71
2021-10-26 0:03:58,-0.47,3.05,-0.9
2021-10-26 0:03:59,0.07,3.25,-0.64
2021-10-26 0:04:00,0.71,-1.89,-8.19
2021-10-26 0:04:01,0.62,1.68,-3.08
2021-10-26 0:04:02,0.28,3.03,-0.73
2021-10-26 0:04:03,0.89,3.07,-0.28
2021-10-26 0:04:04,-0.09,3.39,-0.34
2021-10-26 0:04:05,1.23,-1.4,-8.74
2021-10-26 0:04:06,0.58,-0.52,-7.76
2021-10-26 0:04:07,0.25,2.67,-0.68
2021-10-26 0:04:08,1.22,-1.31,-8.78
2021-10-26 0:04:09,0.84,-1.72,-7.29
2021-10-26 0:04:10,-0.37,3.56,0.02
2021-10-26 0:04:11,1.23,-1.75,-7.07
2021-10-26 0:04:12,-0.02,3.42,-0.35
2021-10-26 0:04:13,1.34,0.28,-6.57
2021-10-26 0:04:14,0.73,0.87,-6.24
2021-10-26 0:04:15,0.93,-1.35,-8.6
2021-10-26 0:04:16,0.51,2.37,-2.61
2021-10-26 0:04:17,-0.07,2.19,-3.05
2021-10-26 0:04:18,0.61,1.1,-5.83
2021-10-26 0:04:19,1.22,-1.39,-8.77
2021-10-26 0:04:20,1.18,-1.26,-8.71
